date,amount,category,note
2025-11-23,10.0,Test,init
2025-11-23,23.5,Food,Lunch at cafe
2025-11-23,45.9,Groceries,Weekly fruits and vegetables
2025-11-23,12.5,Transport,Taxi to work
2025-11-23,4.8,Coffee,Morning cappuccino
2025-11-23,89.0,Utilities,Electricity bill
2025-11-23,15.0,Food,Lunch with colleague
2025-11-23,220.0,Shopping,New shoes
2025-11-23,55.0,Internet,Monthly subscription
2025-11-23,9.99,Entertainment,Netflix monthly plan
2025-11-23,30.0,Health,Pharmacy vitamins
2025-11-23,65.0,Dining,Dinner at restaurant
2025-11-23,25.0,Groceries,Weekly groceries
2025-11-23,7.5,Coffee,Afternoon coffee
2025-11-23,40.0,Transport,Gas refill
2025-11-23,120.0,Shopping,Clothes for work
2025-11-23,18.0,Food,Lunch takeaway
2025-11-23,60.0,Utilities,Water bill
2025-11-23,12.99,Entertainment,Spotify monthly
2025-11-23,10.0,Health,Medicine
2025-11-23,35.0,Dining,Family dinner
2025-11-23,15.5,Groceries,Vegetables and fruits
2025-11-23,5.5,Coffee,Cafe latte
2025-11-23,22.0,Transport,Uber to airport
2025-11-23,200.0,Shopping,Winter jacket
2025-11-23,8.0,Food,Breakfast sandwich
2025-11-23,55.0,Utilities,Internet bill
2025-11-23,19.99,Entertainment,Cinema tickets
2025-11-23,25.0,Health,Gym membership
2025-11-23,40.0,Dining,Lunch out
2025-11-23,60.0,Groceries,Weekly groceries
2025-11-23,6.5,Coffee,Evening cappuccino
2025-11-23,30.0,Transport,Bus card top-up
2025-11-23,90.0,Shopping,Electronics accessories
2025-11-23,14.0,Food,Snack and drink
2025-11-23,50.0,Utilities,Gas bill
2025-11-23,9.99,Entertainment,Music subscription
2025-11-23,20.0,Health,Dental checkup
2025-11-23,70.0,Dining,Dinner with friends
2025-11-23,25.0,Groceries,Fruits and snacks
2025-11-23,7.0,Coffee,Coffee to-go
2025-11-23,18.0,Transport,Metro pass
2025-11-23,150.0,Shopping,Office chair
2025-11-23,12.0,Food,Lunch salad
2025-11-23,55.0,Utilities,Electricity bill
2025-11-23,15.99,Entertainment,Online course
2025-11-23,22.0,Health,Vitamins
2025-11-23,60.0,Dining,Family dinner
2025-11-23,40.0,Groceries,Weekly groceries
2025-11-23,6.0,Coffee,Morning espresso
2025-11-23,25.0,Transport,Taxi ride
2025-11-23,100.0,Shopping,Winter boots
